team1,team2,season_start,team1_wins,team_1_home
Atlanta Hawks,Toronto Raptors,2014,0,0
Atlanta Hawks,Indiana Pacers,2014,1,1
Atlanta Hawks,San Antonio Spurs,2014,0,0
Atlanta Hawks,Charlotte Hornets,2014,0,0
Atlanta Hawks,New York Knicks,2014,1,1
Atlanta Hawks,New York Knicks,2014,1,0
Atlanta Hawks,Utah Jazz,2014,1,1
Atlanta Hawks,Miami Heat,2014,1,1
Atlanta Hawks,Cleveland Cavaliers,2014,0,0
Atlanta Hawks,Los Angeles Lakers,2014,0,1
Atlanta Hawks,Detroit Pistons,2014,1,1
Atlanta Hawks,Washington Wizards,2014,1,0
Atlanta Hawks,Toronto Raptors,2014,0,1
Atlanta Hawks,New Orleans Pelicans,2014,1,1
Atlanta Hawks,Charlotte Hornets,2014,1,1
Atlanta Hawks,Boston Celtics,2014,1,1
Atlanta Hawks,Miami Heat,2014,1,0
Atlanta Hawks,Brooklyn Nets,2014,1,0
Atlanta Hawks,Denver Nuggets,2014,1,1
Atlanta Hawks,Indiana Pacers,2014,1,0
Atlanta Hawks,Philadelphia 76ers,2014,1,1
Atlanta Hawks,Orlando Magic,2014,1,1
Atlanta Hawks,Orlando Magic,2014,0,0
Atlanta Hawks,Chicago Bulls,2014,1,1
Atlanta Hawks,Cleveland Cavaliers,2014,1,0
Atlanta Hawks,Houston Rockets,2014,1,0
Atlanta Hawks,Dallas Mavericks,2014,1,0
Atlanta Hawks,Los Angeles Clippers,2014,1,1
Atlanta Hawks,Milwaukee Bucks,2014,0,1
Atlanta Hawks,Milwaukee Bucks,2014,1,0
Atlanta Hawks,Cleveland Cavaliers,2014,1,1
Atlanta Hawks,Utah Jazz,2014,1,0
Atlanta Hawks,Portland Trail Blazers,2014,1,0
Atlanta Hawks,Los Angeles Clippers,2014,1,0
Atlanta Hawks,Memphis Grizzlies,2014,1,1
Atlanta Hawks,Detroit Pistons,2014,1,0
Atlanta Hawks,Washington Wizards,2014,1,1
Atlanta Hawks,Philadelphia 76ers,2014,1,0
Atlanta Hawks,Boston Celtics,2014,1,0
Atlanta Hawks,Toronto Raptors,2014,1,0
Atlanta Hawks,Chicago Bulls,2014,1,0
Atlanta Hawks,Detroit Pistons,2014,1,1
Atlanta Hawks,Indiana Pacers,2014,1,1
Atlanta Hawks,Oklahoma City Thunder,2014,1,1
Atlanta Hawks,Minnesota Timberwolves,2014,1,1
Atlanta Hawks,Brooklyn Nets,2014,1,1
Atlanta Hawks,Portland Trail Blazers,2014,1,1
Atlanta Hawks,Philadelphia 76ers,2014,1,1
Atlanta Hawks,New Orleans Pelicans,2014,0,0
Atlanta Hawks,Washington Wizards,2014,1,1
Atlanta Hawks,Golden State Warriors,2014,1,1
Atlanta Hawks,Memphis Grizzlies,2014,0,0
Atlanta Hawks,Minnesota Timberwolves,2014,1,0
Atlanta Hawks,Boston Celtics,2014,0,0
Atlanta Hawks,Toronto Raptors,2014,0,1
Atlanta Hawks,Milwaukee Bucks,2014,1,0
Atlanta Hawks,Dallas Mavericks,2014,1,1
Atlanta Hawks,Orlando Magic,2014,1,1
Atlanta Hawks,Miami Heat,2014,1,0
Atlanta Hawks,Houston Rockets,2014,1,1
